Points,Fitness,Visibility,Time
10,108,0.650738,923688
12,185.5,0.688026,1406055
8,62.5,0.579114,635780
8,62.5,0.595079,562965
10,108,0.563696,1383669
9,44,0.558338,776883
9,44,0.562931,786057
8,62.5,0.561618,667281
14,256,0.604921,3272538
9,192.5,1,738340
12,150.5,0.652816,1435171
10,102,0.556916,890904
8,62.5,0.561946,613605
9,44,0.562931,868410
9,44,0.562384,1461074
12,157.5,0.737452,1201239
8,62.5,0.688573,566615
11,299,1,1615483
11,71.5,0.557354,905966
11,286,1,1021667
12,150.5,0.6655,1672941
10,102,0.68912,717658
10,102,0.56971,701504
9,192.5,0.99836,540948
10,102,0.5579,1361698
10,132,0.600984,869631
12,150.5,0.59661,1466298
8,62.5,0.687261,686830
9,44,0.557572,868638
9,44,0.594642,1015856
10,102,0.654675,699810
8,62.5,0.60175,523801
11,71.5,0.563259,1317024
8,62.5,0.5614,1099418
10,102,0.562493,1064282
11,299,1,1068808
10,102,0.649973,797202
10,102,0.558119,1097160
9,192.5,1,867348
11,71.5,0.560853,1027132
9,192.5,1,588131
9,203.5,1,754558
12,192.5,0.649207,1221253
10,102,0.655987,661478
14,208,0.696009,2783829
10,138,0.599016,1052654
11,286,1,862472
9,44,0.5614,937870
8,62.5,0.557463,939065
12,150.5,0.693822,1560814
10,138,0.687589,1104682
10,102,0.648989,814490
11,71.5,0.561837,1403168
10,132,0.650738,923622
10,102,0.652597,665863
10,102,0.691744,910115
10,102,0.658939,629365
8,62.5,0.681137,547372
13,105,0.559431,3902288
11,71.5,0.568398,1844542
8,62.5,0.686933,550610
10,102,0.56643,1040525
12,171.5,0.687589,1570722
10,102,0.652378,663594
12,150.5,0.566976,1459323
8,62.5,0.65216,509815
10,108,0.565774,882287
8,62.5,0.651394,469447
10,102,0.650301,844360
11,71.5,0.560744,1172015
