Points,Fitness,Visibility,Time
6,147.908,1,10864875370
6,247.192,1,10833118324
6,247.192,1,11056115622
6,247.192,1,11642597686
6,246.944,1,11225631929
6,202.128,1,11531513892
6,247.192,1,10686333955
6,247.192,1,10996736132
6,247.192,1,10447928625
6,247.192,1,10463700205
6,247.192,1,9729016765
6,247.162,1,10186093565
6,247.192,0.999673,10362507062
6,247.192,1,10683754005
6,247.192,1,7952728220
6,202.049,1,11876595818
6,247.17,1,8585902815
6,247.192,1,11077156639
6,247.192,1,10507349530
6,247.192,1,12954463292
6,246.494,1,12361096217
6,247.192,1,12916090125
6,247.192,1,12416741678
6,247.192,0.998836,10884502634
6,247.192,1,12513800696
6,247.192,1,9245914088
6,247.192,1,12700117856
6,247.167,1,12637812906
6,247.192,0.944215,12896222720
6,106.348,1,12327396252
6,247.192,1,12310016458
6,247.192,1,13248350634
6,247.192,1,12863369277
6,247.192,1,12342893824
6,247.192,1,12867441712
6,247.192,1,12427746910
6,247.192,1,12217998842
6,202.128,0.944215,14386773929
6,202.127,1,14519733440
6,247.192,1,12140323619
6,247.192,1,12651521714
6,247.192,1,10869130408
6,246.833,1,10855690802
6,247.171,1,10108606548
6,247.192,1,8962145670
6,247.192,1,8792341246
6,247.169,1,12029501326
6,247.192,1,10696196294
6,247.192,1,9492515448
6,247.192,1,9976343060
6,247.192,1,17379804991
6,247.192,1,13861286564
6,247.192,1,12671419981
6,247.192,1,10781164494
6,247.192,1,10774325431
6,247.177,1,11406711247
6,247.192,1,10915001812
6,247.192,1,10727706528
6,247.192,1,12372038250
6,247.192,1,15260796058
6,247.192,1,15125615669
6,247.174,1,14375763903
6,106.348,1,13562098592
6,247.174,1,13216821805
6,247.192,0.998836,10778668362
6,247.192,1,10425432991
6,247.192,1,10723732389
6,247.192,1,11059363527
6,106.301,1,10295583666
6,247.192,1,10828952230
