Points,Fitness,Visibility,Time
14,896,0.999654,8282304
15,1700,0.999885,8523966
24,12571,0.999827,16863397
9,335.5,0.997579,1338600
8,255,0.996484,1043455
14,1632,0.999827,5389997
16,1737,0.999078,4760794
12,1169,0.999078,3097442
13,892.5,0.998674,3893517
25,7546.5,0.999654,16075270
18,2940,0.999712,8171560
19,1848,0.999481,7324990
21,3875.5,0.999712,11772698
23,7225,0.999942,10999497
14,1472,0.998328,3450469
19,3381,0.999539,8385411
20,1424.5,0.827195,9406788
13,1012.5,0.998962,2870703
25,8518.5,0.999654,18384215
8,87.5,0.811344,1075006
17,1985.5,0.999597,6139049
14,1456,0.999539,5792192
16,1593,0.997925,5651000
19,3381,0.998271,5840422
17,1643.5,0.997406,5234528
17,2213.5,0.998156,6478725
16,1251,0.999135,5510576
20,3509,0.999597,12610100
18,1310,0.829097,8903043
17,1871.5,0.999539,6357973
24,7371,0.999481,17358531
14,1328,0.998905,5781167
23,3725,0.999885,13650545
16,1791,0.999366,4314340
17,2555.5,0.999424,6874137
12,192.5,0.819586,2612600
23,6775,0.999539,11680969
21,6129.5,0.998674,13049544
15,1394,0.999654,5936287
17,2289.5,0.999308,6439890
17,1909.5,0.999481,6223244
15,850,0.999308,3944217
20,1776.5,0.843622,11392783
22,5616,0.999712,18904209
15,1292,0.999597,3604045
22,6984,0.999424,9804825
14,1760,0.998559,5117021
11,455,0.997118,1654463
14,1184,0.99879,5327196
22,3744,0.879705,12280541
15,1700,0.999827,7953894
23,3356.25,0.830134,14232265
16,1917,0.998444,4470920
19,4231.5,0.999654,9488673
8,62.5,0.81803,1437075
17,3904.5,0.999885,8306249
12,665,0.998328,2315801
19,2835,0.999942,9594466
19,3675,0.999366,8189353
14,504,0.907372,8694862
11,299,0.998732,2586809
35,40071,0.999712,38674262
16,2223,0.999424,8097280
24,8125,0.999539,21169730
19,3654,0.999654,14705508
13,922.5,0.999712,3180894
17,1168.5,0.826042,5424964
21,6129.5,0.999193,11176350
16,2223,0.999885,11863139
17,1928.5,0.997521,3956444
