Points,Fitness,Visibility,Time
10,405.901,0.999827,2909336356
10,637.499,0.989855,3311548137
10,465.731,0.992276,3036924336
10,414.309,0.996484,2797034789
10,391.47,0.996657,2839982116
10,367.3,0.990547,2846999615
10,278.882,0.929333,2727113286
10,521.106,0.971122,3097338216
10,404.332,0.996887,2920732879
10,327.726,0.997003,3045464300
10,408.848,0.939017,2862387822
10,188.808,0.999251,2859523050
10,251.384,0.996253,2853816026
10,163.775,0.999481,2829194564
10,281.178,0.933137,3410595245
10,183.508,0.925586,2438884802
10,147.462,0.999193,3575922766
10,267.808,0.928526,2871156686
10,215.005,0.999135,3112614994
10,184.224,0.942187,2538768505
10,139.964,0.829039,2321233460
10,189.547,0.943743,2776364200
10,285.418,0.989913,3102656333
10,390.429,0.998328,2820065193
10,400.43,0.996542,2874618177
10,181.542,0.928987,2818236135
10,386.623,0.998847,2638199384
10,291.768,0.939881,2889122376
10,735.739,0.999424,2678943517
10,577.227,0.99366,3084667588
10,213.71,0.998386,3125552301
10,341.904,0.992968,3003781977
10,316.026,0.928987,2773877634
10,328.122,0.994467,2649169972
10,188.85,0.923281,2697806390
10,303.538,0.930544,2662809373
10,222.57,0.997925,2475250100
10,203.414,0.931639,3112752345
10,605.147,0.997925,2451009501
10,244.131,0.930428,2877855045
10,345.61,0.999135,2546576229
10,193.147,0.826445,2402300269
10,387.07,0.998386,2930063045
10,248.247,0.943628,2651530467
10,375.199,0.925875,2885398262
10,229.377,0.94553,2840835846
10,324.667,0.996253,2762416292
10,325.831,0.999078,2806019761
10,455.996,0.946625,2956177067
10,250.514,0.93112,2853589930
10,217.908,0.999424,2933157254
10,211.04,0.937979,3838508202
10,411.159,0.999712,3179327207
10,266.354,0.928353,2830899324
10,347.905,0.831633,3546766738
10,330.27,0.99879,4579810818
10,178.008,0.92991,3878436735
10,326.478,0.999712,3992940939
10,538.816,0.997406,5252575758
10,334.336,0.997752,3967877585
10,391.001,0.99781,4283314586
10,241.941,0.829097,3711441396
10,405.665,0.993026,4432086690
10,184.521,0.981209,4317254027
10,303.698,0.93625,4387311629
10,212.263,0.828117,3425344936
10,466.849,0.989798,4224383027
10,184.765,0.930313,3577911376
10,361.642,0.999712,4373570405
10,179.142,0.917459,4141552556
