Points,Fitness,Visibility,Time
6,31.7601,0.916649,8565535719
6,67.3438,0.808243,8637055297
6,80.4266,0.981853,8242243690
6,80.071,0.953803,7795149157
6,104.959,1,7677519822
6,103.645,1,7672654174
6,78.0856,0.931984,7828348969
6,105.788,1,8133032330
6,52.9966,1,8454711880
6,103.638,1,7948433482
6,105.272,1,8101037367
6,103.531,1,7706120388
6,31.373,0.833311,8212785433
6,103.752,1,8322487887
6,103.716,1,7830219636
6,68.3105,0.947585,7918887306
6,104.549,0.981635,8076900582
6,77.8405,1,8240950179
6,77.6363,0.95567,8184982387
6,77.8228,0.946069,7930878594
6,55.6293,0.815116,8155342493
6,52.6271,0.933002,7843096988
6,78.6777,0.95544,8234668448
6,31.3756,0.910758,7908993113
6,103.32,1,8492207938
6,103.546,1,8161469309
6,52.783,0.995115,7969410354
6,68.2871,0.959828,7864096541
6,52.2196,1,7199436297
6,77.7891,1,7182297168
6,54.2587,0.948979,7626126007
6,78.2803,1,7587072583
6,77.612,0.998133,7268493687
6,53.0279,1,7405645354
6,77.5838,1,7748398114
6,31.6858,0.902055,7230232093
6,77.9956,1,7354875533
6,54.0756,0.913777,7583082415
6,53.145,0.969962,7278860156
6,77.4999,1,7307401442
6,53.7898,0.918819,7421781323
6,51.9186,0.955779,7395176731
6,53.2799,1,7407805919
6,105.744,1,7776472460
6,54.1818,0.905279,7179079151
6,65.4345,0.940142,7595393747
6,103.494,0.903897,7203363042
6,53.556,1,7147053358
6,77.9691,0.956725,7162673244
6,79.0541,0.905897,7449772722
6,77.6585,0.934954,7580921746
6,105.102,0.99566,7182646693
6,77.9938,1,7098695055
6,77.7097,0.905582,8188848247
6,52.0609,1,8208283753
6,79.3641,0.930359,7642333873
6,78.0679,0.997103,7494918447
6,105.603,1,7523595796
6,103.764,1,7499218523
6,79.8893,0.941948,7641365834
6,123.78,1,7504958424
6,52.7638,1,7089912766
6,60.8902,1,9622145024
6,77.8038,0.995903,7779291289
6,104.075,0.937827,7920874901
6,105.016,1,7729975397
6,52.0869,1,7549827421
6,80.2325,0.924989,7678926578
6,103.722,1,7805477316
6,77.9952,0.983551,7605682380
