Points,Fitness,Visibility,Time
12,616.958,1,7345199832
12,613.425,1,6340289833
12,493.113,1,5233703869
12,495.717,1,4571810467
12,613.07,1,4745427699
12,507.775,1,4738207459
12,557.665,1,4710539475
12,493.167,1,6830399505
12,385.353,1,6621256512
12,613.958,1,7412995914
12,409.798,1,6529684821
12,596.32,1,6425278771
12,285.228,1,6418234355
12,614.694,1,7024441888
12,423.404,0.600984,6776151501
12,493.992,1,6326577729
12,321.412,1,6340108716
12,374.999,1,6370381933
12,372.065,1,7922635739
12,377.785,1,6960903192
12,473.688,1,7321721436
12,376.283,1,6908588009
12,453.156,0.461673,7634544924
12,612.768,1,6593319377
12,534.696,1,6921871121
12,625.287,1,6446922323
12,492.557,1,6479135183
12,375.448,1,7197814111
12,514.692,0.460033,6327964216
12,531.842,1,6603402956
12,613.603,1,6786874877
12,319.672,1,7058293584
12,493.242,1,6472087688
12,376.845,1,6567941501
12,403.779,1,6601745915
12,614.873,1,6944895594
12,441.396,1,7017870606
12,450.347,0.606561,6596383952
12,532.999,1,6542472185
12,486.904,0.596173,6640849925
12,409.093,1,6998750531
12,614.271,1,6443375137
12,356.017,1,6348077993
12,490.572,1,6247098992
12,370.805,1,6748475360
12,609.424,0.592127,6683591460
12,617.174,1,7223259604
12,488.015,1,6212713749
12,556.95,0.592455,6806522302
12,400.73,1,7110784957
12,319.346,1,6362863419
12,658.284,0.592455,6406960723
12,532.044,1,6575159659
12,524.164,0.462767,7095201479
12,409.655,1,6786440760
12,613.306,1,6611953391
12,526.11,1,6769523938
12,451.977,1,6726122392
12,455.339,0.463204,7141185576
12,532.685,0.60175,6476842641
12,662.067,1,6833543717
12,321.403,1,6308441437
12,374.342,1,6861868804
12,616.709,1,6627649024
12,366.276,1,6490452436
12,498.918,1,6261868716
12,438.941,1,6946530347
12,613.619,1,7089122889
12,558.99,1,6412293357
12,320.146,1,6713123118
